ANUM , BNUM , SERVICE_TYPE , USAGE , START_DATE_TIME

Mahmoud Shaheen,null,DATA,270.0,2024-07-18 00:00
Moore Helen,null,DATA,453.0,2024-07-18 00:00
Alice Johnson,null,DATA,104.0,2024-07-18 00:00
Yasmeen Al-Muhannadi,Sami Al-Muhannadi,SMS,1.0,2024-07-18 00:00
Adams Jessica,null,DATA,858.0,2024-07-18 00:00
Davis Thomas,null,DATA,205.0,2024-07-18 00:00
Khalid Al-Siddiq,Lopez Sharon,SMS,1.0,2024-07-18 00:00
Muna Essam,Daniel Rodriguez,SMS,1.0,2024-07-18 00:00
Linda Williams,Tariq Al-Aziz,SMS,1.0,2024-07-18 00:00
Yara Hakim,Basil Mahmoud,CALL,14.0,2024-07-18 00:00
Khaled Al-Mansour,null,DATA,624.0,2024-07-18 00:00
Yasmeen Al-Khaled,White Carol,CALL,14.0,2024-07-18 00:00
Leila Al-Muhannadi,null,DATA,501.0,2024-07-18 00:00
Hernandez Betty,Roula Ashraf,CALL,9.0,2024-07-18 00:00
Kevin Harris,Jackson Andrew,SMS,1.0,2024-07-18 00:00
Bilal Al-Mansour,null,DATA,610.0,2024-07-18 00:00
Lopez Brian,null,DATA,567.0,2024-07-18 00:00
Jennifer Davis,Lisa Anderson,CALL,57.0,2024-07-18 00:00
Mary Johnson,Patricia Williams,CALL,26.0,2024-07-18 00:00
Joseph Rodriguez,null,DATA,395.0,2024-07-18 00:00
Edward Green,Tariq Al-Hassan,CALL,59.0,2024-07-18 00:00
Farah Al-Din,Ruba Al-Farouq,CALL,42.0,2024-07-18 00:00
Walker Angela,Yasmin Al-Farouq,SMS,1.0,2024-07-18 00:00
Nabil Al-Din,null,DATA,196.0,2024-07-18 00:00
Garcia Maria,null,DATA,773.0,2024-07-18 00:00
Matthew Taylor,Barbara Brown,CALL,51.0,2024-07-18 00:00
George Scott,null,DATA,347.0,2024-07-18 00:00
Susan Williams,Talal Rami,CALL,5.0,2024-07-18 00:00
Adams Jeffrey,Rania Al-Farouq,CALL,16.0,2024-07-18 00:00
Loujain AbdelZaher,Green Jason,SMS,1.0,2024-07-18 00:00
David Johnson,Timothy Nelson,CALL,11.0,2024-07-18 00:00
Murad Jamal,Yasmin Al-Faisal,CALL,11.0,2024-07-18 00:00
Richard Davis,Saeed Al-Mansour,CALL,51.0,2024-07-18 00:00
Nabil Al-Maamoun,Perez Melissa,SMS,1.0,2024-07-18 00:00
Bassem Al-Mansour,null,DATA,75.0,2024-07-18 00:00
Kenneth Lopez,Wilson Dorothy,CALL,36.0,2024-07-18 00:00
Omar Al-Saeed,null,DATA,723.0,2024-07-18 00:00
Taylor Donald,Layla Al-Muhammad,SMS,1.0,2024-07-18 00:00
Rodriguez Daniel,Cynthia Walker,SMS,1.0,2024-07-18 00:00
Noor Al-Amin,null,DATA,901.0,2024-07-18 00:00
Deborah Adams,Daniel Anderson,CALL,3.0,2024-07-18 00:00
Layla Al-Farouq,Bassem Al-Din,SMS,1.0,2024-07-18 00:00
Ziad Al-Majid,Noor Al-Qadir,SMS,1.0,2024-07-18 00:00
Ahmed Amin,Mahmoud Al-Zain,CALL,50.0,2024-07-18 00:00
Hall Brenda,null,DATA,274.0,2024-07-18 00:00
Hana Nasser,null,DATA,753.0,2024-07-18 00:00
King Sarah,null,DATA,47.0,2024-07-18 00:00
Imad Al-Rashid,null,DATA,82.0,2024-07-18 00:00
Taylor Karen,Yasmeen Al-Mansour,CALL,54.0,2024-07-18 00:00
John Doe,null,DATA,986.0,2024-07-18 00:00
Yasmin Al-Hassan,null,DATA,397.0,2024-07-18 00:00
Imad Al-Mansour,null,DATA,486.0,2024-07-18 00:00
Zayd Mustafa,Clark Laura,SMS,1.0,2024-07-18 00:00
Maha Tarek,Moore Paul,SMS,1.0,2024-07-18 00:00
Omar Al-Khatib,Layla Sameer,CALL,7.0,2024-07-18 00:00
Bassem Al-Aziz,Munir Zubair,CALL,43.0,2024-07-18 00:00
Dina Al-Qadir,Mark Anderson,CALL,38.0,2024-07-18 00:00
King Ronald,null,DATA,901.0,2024-07-18 00:00
Anthony Hernandez,null,DATA,602.0,2024-07-18 00:00
Jennifer Miller,null,DATA,202.0,2024-07-18 00:00
